Model,Dimension,R2,Train MAE,Test MAE
RandomForestRegressor,1,0.6268264093944873,0.1170898370029392,0.2607872937882465
RandomForestRegressor,2,0.6193935453235386,0.09897612606617488,0.26515929400000765
RandomForestRegressor,3,0.7378787236582522,0.10075621792058795,0.23904798615882536
RandomForestRegressor,4,0.7477898839485788,0.1016542033823524,0.23662665537058997
RandomForestRegressor,5,0.7553000126983225,0.10319331015588097,0.2276892767235297
RandomForestRegressor,6,0.7612353128414103,0.09993763907646847,0.23143177170589202
RandomForestRegressor,7,0.7603840418969863,0.09889632324264419,0.23367269766470877
RandomForestRegressor,8,0.7565827046336242,0.10024895840293849,0.235273683476473
RandomForestRegressor,9,0.7614166355690513,0.10037274617793901,0.23392812657059112
RandomForestRegressor,10,0.7706449351868216,0.09810884613970307,0.23137250237647308
AdaBoostRegressor,1,0.557662148197636,0.1774110540472431,0.3000636486441235
AdaBoostRegressor,2,0.5799840610234698,0.16739589643749983,0.2893570913477726
AdaBoostRegressor,3,0.7401116726049778,0.17028512890998315,0.2334396795011159
AdaBoostRegressor,4,0.7324584703553813,0.16597513722094884,0.2383528235683596
AdaBoostRegressor,5,0.7634731030144115,0.16208482870292293,0.2225519411358992
AdaBoostRegressor,6,0.7405712795397619,0.17386814533956335,0.24230949901688548
AdaBoostRegressor,7,0.7448318202334434,0.16458489764551704,0.23834869623791075
AdaBoostRegressor,8,0.7385250832293003,0.16993638787299759,0.2344847909535142
AdaBoostRegressor,9,0.7484228043225356,0.1662454668726267,0.23523189314967158
AdaBoostRegressor,10,0.7517141017495275,0.16293403190521888,0.229114438869728
GradientBoostingRegressor,1,0.5656962706769415,0.08285772705959775,0.28156053912081436
GradientBoostingRegressor,2,0.5478644062508997,0.06326011989959662,0.2858587196904918
GradientBoostingRegressor,3,0.7566816798218003,0.056015241730802634,0.23252645764831362
GradientBoostingRegressor,4,0.721839354168247,0.05270303059252104,0.25896536329766046
GradientBoostingRegressor,5,0.7336699568867332,0.05013338307209711,0.2634649354332481
GradientBoostingRegressor,6,0.7274229651145182,0.050951970249400305,0.26057455374689414
GradientBoostingRegressor,7,0.7241378199025813,0.050951970249400305,0.26736551162014655
GradientBoostingRegressor,8,0.7617451989263611,0.050951970249400305,0.2502901400160134
GradientBoostingRegressor,9,0.7736905419278278,0.05095197024940035,0.24296271614741294
GradientBoostingRegressor,10,0.7699595954529184,0.05095197024940035,0.24733088809828654
BaggingRegressor,1,0.6660452113449966,0.1149525633529388,0.2543124010000118
BaggingRegressor,2,0.6223381498825303,0.10920638095588406,0.27556458270588313
BaggingRegressor,3,0.6836379154354414,0.11342416148529365,0.2639622621176485
BaggingRegressor,4,0.7148185613902234,0.10509742045588095,0.2576450549411804
BaggingRegressor,5,0.7391285923555015,0.11139130482352605,0.24173194841176232
BaggingRegressor,6,0.7187120982026545,0.1050796595441153,0.25826470676470853
BaggingRegressor,7,0.7243535376023729,0.1041059310294088,0.2519776025294128
BaggingRegressor,8,0.7445432499485254,0.10891301201470382,0.2493977323529446
BaggingRegressor,9,0.7214325390042102,0.10471328632352624,0.25885902894117907
BaggingRegressor,10,0.739684345003971,0.10690312702941034,0.24616476629411863
XGBRegressor,1,0.2597935401710013,0.0040460598383777,0.40263140225783484
XGBRegressor,2,0.5041325586245033,0.0012884622541259906,0.2625656332839985
XGBRegressor,3,0.7167241053390714,0.0013631560939936838,0.23101769704674455
XGBRegressor,4,0.7155716767288784,0.0012222743405551554,0.2504408548366533
XGBRegressor,5,0.6882414940071827,0.001258081549093736,0.2697211727883045
XGBRegressor,6,0.7043517687239904,0.0009699985437624473,0.2606613824855791
XGBRegressor,7,0.7043517687239904,0.0009699985437624473,0.2606613824855791
XGBRegressor,8,0.7043517687239904,0.0009699985437624473,0.2606613824855791
XGBRegressor,9,0.7043517687239904,0.0009699985437624473,0.2606613824855791
XGBRegressor,10,0.7043517687239904,0.0009699985437624473,0.2606613824855791
LGBMRegressor,1,0.5077369493111166,0.2647724700530723,0.34729120690171517
LGBMRegressor,2,0.5923161675114678,0.24966645970117743,0.3138296683378745
LGBMRegressor,3,0.6268813611010841,0.2507928146589704,0.2964615236274626
LGBMRegressor,4,0.6091076635366063,0.2487093013726121,0.3068194011341751
LGBMRegressor,5,0.6167919351752442,0.2487093013726121,0.30325676307256455
LGBMRegressor,6,0.6167919351752442,0.2487093013726121,0.30325676307256455
LGBMRegressor,7,0.6167919351752442,0.2487093013726121,0.30325676307256455
LGBMRegressor,8,0.6167919351752442,0.2487093013726121,0.30325676307256455
LGBMRegressor,9,0.6167919351752442,0.2487093013726121,0.30325676307256455
LGBMRegressor,10,0.6167919351752442,0.2487093013726121,0.30325676307256455
CatBoostRegressor,1,0.5909602718840501,0.10959583554454279,0.2739962907847237
CatBoostRegressor,2,0.5623273371905424,0.082069343063388,0.2767089574885641
CatBoostRegressor,3,0.7407991940347183,0.0742521415523655,0.24362051257845702
CatBoostRegressor,4,0.7236858808142826,0.07283998725271805,0.25241447521344657
CatBoostRegressor,5,0.7418862050319299,0.07297069750648862,0.24548622301263254
CatBoostRegressor,6,0.7469183779457104,0.07452798782508643,0.23979881757783594
CatBoostRegressor,7,0.7383772278512817,0.07497381769344237,0.2452004002904713
CatBoostRegressor,8,0.749529713951536,0.07375505782039776,0.23399624075559397
CatBoostRegressor,9,0.7415372492869614,0.07453597972814961,0.24427832157886484
CatBoostRegressor,10,0.7417528488219433,0.0753289000260159,0.24117615794299382
