iter	RMSE
0	2.975339093
1	2.956057647
2	2.936231355
3	2.916856708
4	2.897645365
5	2.87823026
6	2.857920992
7	2.837857302
8	2.817996945
9	2.799496227
10	2.778997809
11	2.75966589
12	2.740067582
13	2.721717355
14	2.702138965
15	2.683887025
16	2.664790376
17	2.647176433
18	2.629117274
19	2.61104813
20	2.592811728
21	2.576089975
22	2.558655031
23	2.541626214
24	2.52409751
25	2.507229468
26	2.490227768
27	2.473283999
28	2.456904162
29	2.440748928
30	2.424432462
31	2.407157617
32	2.391091028
33	2.374790904
34	2.357977553
35	2.341122994
36	2.325208871
37	2.309722692
38	2.294126658
39	2.278846026
40	2.263291972
41	2.248141482
42	2.232941495
43	2.218088833
44	2.202869302
45	2.188661294
46	2.174004144
47	2.160291388
48	2.145726373
49	2.131348035
50	2.118296626
51	2.103901877
52	2.090547756
53	2.077082934
54	2.064072806
55	2.051139014
56	2.037364723
57	2.024379858
58	2.011335452
59	1.99829111
60	1.98490698
61	1.971583595
62	1.95866513
63	1.945895779
64	1.933724487
65	1.921076809
66	1.908153985
67	1.895696009
68	1.883367488
69	1.871261798
70	1.859995341
71	1.848071771
72	1.83638884
73	1.825047787
74	1.81324103
75	1.801555088
76	1.790175542
77	1.778898967
78	1.768303377
79	1.757389659
80	1.746542476
81	1.735816066
82	1.724654777
83	1.714721473
84	1.704538025
85	1.693649733
86	1.682602414
87	1.672604511
88	1.661769117
89	1.652449618
90	1.642600612
91	1.633122607
