iter	Passed	Remaining
0	1	473
1	1	325
2	3	349
3	3	301
4	3	272
5	4	257
6	4	239
7	5	237
8	5	226
9	6	215
10	6	209
11	7	203
12	7	201
13	8	196
14	8	194
15	9	187
16	9	184
17	9	181
18	10	180
19	10	178
20	11	175
21	11	173
22	11	170
23	12	168
24	12	166
25	13	164
26	13	163
27	14	161
28	14	159
29	14	158
30	15	157
31	15	155
32	16	155
33	16	155
34	17	154
35	17	153
36	17	151
37	18	149
38	18	148
39	19	148
40	19	149
41	20	148
42	20	147
43	21	147
44	21	146
45	22	145
46	22	144
47	22	142
48	23	141
49	23	140
50	23	139
51	24	138
52	24	137
53	24	136
54	25	136
55	25	135
56	26	134
57	26	133
58	26	133
59	27	132
60	27	131
61	28	130
62	28	130
63	29	130
64	29	129
65	29	128
66	30	128
67	30	127
68	31	126
69	31	125
70	31	125
71	32	124
72	32	123
73	32	122
74	33	121
75	33	120
76	33	120
77	34	119
78	34	118
79	35	118
80	35	117
81	35	117
82	36	116
83	36	115
84	36	114
85	37	114
86	37	113
87	38	113
88	38	112
89	38	112
90	39	111
91	39	110
